Name,Permissions
alg_socket,accept
alg_socket, append
alg_socket, bind
alg_socket, connect
alg_socket, create
alg_socket, getattr
alg_socket, getopt
alg_socket, ioctl
alg_socket, listen
alg_socket, lock
alg_socket, map
alg_socket, name_bind
alg_socket, read
alg_socket, recv_msg
alg_socket, recvfrom
alg_socket, relabelfrom
alg_socket, relabelto
alg_socket, send_msg
alg_socket, sendto
alg_socket, setattr
alg_socket, setopt
alg_socket, shutdown
alg_socket, write
appletalk_socket,accept
appletalk_socket, append
appletalk_socket, bind
appletalk_socket, connect
appletalk_socket, create
appletalk_socket, getattr
appletalk_socket, getopt
appletalk_socket, ioctl
appletalk_socket, listen
appletalk_socket, lock
appletalk_socket, map
appletalk_socket, name_bind
appletalk_socket, read
appletalk_socket, recv_msg
appletalk_socket, recvfrom
appletalk_socket, relabelfrom
appletalk_socket, relabelto
appletalk_socket, send_msg
appletalk_socket, sendto
appletalk_socket, setattr
appletalk_socket, setopt
appletalk_socket, shutdown
appletalk_socket, write
association,polmatch
association, recvfrom
association, sendto
association, setcontext
atmpvc_socket,accept
atmpvc_socket, append
atmpvc_socket, bind
atmpvc_socket, connect
atmpvc_socket, create
atmpvc_socket, getattr
atmpvc_socket, getopt
atmpvc_socket, ioctl
atmpvc_socket, listen
atmpvc_socket, lock
atmpvc_socket, map
atmpvc_socket, name_bind
atmpvc_socket, read
atmpvc_socket, recv_msg
atmpvc_socket, recvfrom
atmpvc_socket, relabelfrom
atmpvc_socket, relabelto
atmpvc_socket, send_msg
atmpvc_socket, sendto
atmpvc_socket, setattr
atmpvc_socket, setopt
atmpvc_socket, shutdown
atmpvc_socket, write
atmsvc_socket,accept
atmsvc_socket, append
atmsvc_socket, bind
atmsvc_socket, connect
atmsvc_socket, create
atmsvc_socket, getattr
atmsvc_socket, getopt
atmsvc_socket, ioctl
atmsvc_socket, listen
atmsvc_socket, lock
atmsvc_socket, map
atmsvc_socket, name_bind
atmsvc_socket, read
atmsvc_socket, recv_msg
atmsvc_socket, recvfrom
atmsvc_socket, relabelfrom
atmsvc_socket, relabelto
atmsvc_socket, send_msg
atmsvc_socket, sendto
atmsvc_socket, setattr
atmsvc_socket, setopt
atmsvc_socket, shutdown
atmsvc_socket, write
ax25_socket,accept
ax25_socket, append
ax25_socket, bind
ax25_socket, connect
ax25_socket, create
ax25_socket, getattr
ax25_socket, getopt
ax25_socket, ioctl
ax25_socket, listen
ax25_socket, lock
ax25_socket, map
ax25_socket, name_bind
ax25_socket, read
ax25_socket, recv_msg
ax25_socket, recvfrom
ax25_socket, relabelfrom
ax25_socket, relabelto
ax25_socket, send_msg
ax25_socket, sendto
ax25_socket, setattr
ax25_socket, setopt
ax25_socket, shutdown
ax25_socket, write
binder,call
binder, impersonate
binder, set_context_mgr
binder, transfer
blk_file,append
blk_file, audit_access
blk_file, create
blk_file, execmod
blk_file, execute
blk_file, getattr
blk_file, ioctl
blk_file, link
blk_file, lock
blk_file, map
blk_file, mounton
blk_file, open
blk_file, quotaon
blk_file, read
blk_file, relabelfrom
blk_file, relabelto
blk_file, rename
blk_file, setattr
blk_file, swapon
blk_file, unlink
blk_file, write
bluetooth_socket,accept
bluetooth_socket, append
bluetooth_socket, bind
bluetooth_socket, connect
bluetooth_socket, create
bluetooth_socket, getattr
bluetooth_socket, getopt
bluetooth_socket, ioctl
bluetooth_socket, listen
bluetooth_socket, lock
bluetooth_socket, map
bluetooth_socket, name_bind
bluetooth_socket, read
bluetooth_socket, recv_msg
bluetooth_socket, recvfrom
bluetooth_socket, relabelfrom
bluetooth_socket, relabelto
bluetooth_socket, send_msg
bluetooth_socket, sendto
bluetooth_socket, setattr
bluetooth_socket, setopt
bluetooth_socket, shutdown
bluetooth_socket, write
bpf,map_create
bpf, map_read
bpf, map_write
bpf, prog_load
bpf, prog_run
bridge_socket,accept
bridge_socket, append
bridge_socket, bind
bridge_socket, connect
bridge_socket, create
bridge_socket, getattr
bridge_socket, getopt
bridge_socket, ioctl
bridge_socket, listen
bridge_socket, lock
bridge_socket, map
bridge_socket, name_bind
bridge_socket, read
bridge_socket, recv_msg
bridge_socket, recvfrom
bridge_socket, relabelfrom
bridge_socket, relabelto
bridge_socket, send_msg
bridge_socket, sendto
bridge_socket, setattr
bridge_socket, setopt
bridge_socket, shutdown
bridge_socket, write
caif_socket,accept
caif_socket, append
caif_socket, bind
caif_socket, connect
caif_socket, create
caif_socket, getattr
caif_socket, getopt
caif_socket, ioctl
caif_socket, listen
caif_socket, lock
caif_socket, map
caif_socket, name_bind
caif_socket, read
caif_socket, recv_msg
caif_socket, recvfrom
caif_socket, relabelfrom
caif_socket, relabelto
caif_socket, send_msg
caif_socket, sendto
caif_socket, setattr
caif_socket, setopt
caif_socket, shutdown
caif_socket, write
can_socket,accept
can_socket, append
can_socket, bind
can_socket, connect
can_socket, create
can_socket, getattr
can_socket, getopt
can_socket, ioctl
can_socket, listen
can_socket, lock
can_socket, map
can_socket, name_bind
can_socket, read
can_socket, recv_msg
can_socket, recvfrom
can_socket, relabelfrom
can_socket, relabelto
can_socket, send_msg
can_socket, sendto
can_socket, setattr
can_socket, setopt
can_socket, shutdown
can_socket, write
cap2_userns,audit_read
cap2_userns, block_suspend
cap2_userns, mac_admin
cap2_userns, mac_override
cap2_userns, syslog
cap2_userns, wake_alarm
cap_userns,audit_control
cap_userns, audit_write
cap_userns, chown
cap_userns, dac_override
cap_userns, dac_read_search
cap_userns, fowner
cap_userns, fsetid
cap_userns, ipc_lock
cap_userns, ipc_owner
cap_userns, kill
cap_userns, lease
cap_userns, linux_immutable
cap_userns, mknod
cap_userns, net_admin
cap_userns, net_bind_service
cap_userns, net_broadcast
cap_userns, net_raw
cap_userns, setfcap
cap_userns, setgid
cap_userns, setpcap
cap_userns, setuid
cap_userns, sys_admin
cap_userns, sys_boot
cap_userns, sys_chroot
cap_userns, sys_module
cap_userns, sys_nice
cap_userns, sys_pacct
cap_userns, sys_ptrace
cap_userns, sys_rawio
cap_userns, sys_resource
cap_userns, sys_time
cap_userns, sys_tty_config
capability,audit_control
capability, audit_write
capability, chown
capability, dac_override
capability, dac_read_search
capability, fowner
capability, fsetid
capability, ipc_lock
capability, ipc_owner
capability, kill
capability, lease
capability, linux_immutable
capability, mknod
capability, net_admin
capability, net_bind_service
capability, net_broadcast
capability, net_raw
capability, setfcap
capability, setgid
capability, setpcap
capability, setuid
capability, sys_admin
capability, sys_boot
capability, sys_chroot
capability, sys_module
capability, sys_nice
capability, sys_pacct
capability, sys_ptrace
capability, sys_rawio
capability, sys_resource
capability, sys_time
capability, sys_tty_config
capability2,audit_read
capability2, block_suspend
capability2, epolwakeup
capability2, mac_admin
capability2, mac_override
capability2, syslog
capability2, wake_alarm
chr_file,append
chr_file, audit_access
chr_file, create
chr_file, entrypoint
chr_file, execmod
chr_file, execute
chr_file, execute_no_trans
chr_file, getattr
chr_file, ioctl
chr_file, link
chr_file, lock
chr_file, map
chr_file, mounton
chr_file, open
chr_file, quotaon
chr_file, read
chr_file, relabelfrom
chr_file, relabelto
chr_file, rename
chr_file, setattr
chr_file, swapon
chr_file, unlink
chr_file, write
context,contains
context, translate
db_blob,create
db_blob, drop
db_blob, export
db_blob, getattr
db_blob, import
db_blob, read
db_blob, relabelfrom
db_blob, relabelto
db_blob, setattr
db_blob, write
db_column,create
db_column, drop
db_column, getattr
db_column, insert
db_column, relabelfrom
db_column, relabelto
db_column, select
db_column, setattr
db_column, update
db_database,access
db_database, create
db_database, drop
db_database, get_param
db_database, getattr
db_database, install_module
db_database, load_module
db_database, relabelfrom
db_database, relabelto
db_database, set_param
db_database, setattr
db_language,create
db_language, drop
db_language, execute
db_language, getattr
db_language, implement
db_language, relabelfrom
db_language, relabelto
db_language, setattr
db_procedure,create
db_procedure, drop
db_procedure, entrypoint
db_procedure, execute
db_procedure, getattr
db_procedure, install
db_procedure, relabelfrom
db_procedure, relabelto
db_procedure, setattr
db_schema,add_name
db_schema, create
db_schema, drop
db_schema, getattr
db_schema, relabelfrom
db_schema, relabelto
db_schema, remove_name
db_schema, search
db_schema, setattr
db_sequence,create
db_sequence, drop
db_sequence, get_value
db_sequence, getattr
db_sequence, next_value
db_sequence, relabelfrom
db_sequence, relabelto
db_sequence, set_value
db_sequence, setattr
db_table,create
db_table, delete
db_table, drop
db_table, getattr
db_table, insert
db_table, lock
db_table, relabelfrom
db_table, relabelto
db_table, select
db_table, setattr
db_table, update
db_tuple,delete
db_tuple, insert
db_tuple, relabelfrom
db_tuple, relabelto
db_tuple, select
db_tuple, update
db_tuple, use
db_view,create
db_view, drop
db_view, expand
db_view, getattr
db_view, relabelfrom
db_view, relabelto
db_view, setattr
dbus,acquire_svc
dbus, send_msg
dccp_socket,accept
dccp_socket, append
dccp_socket, bind
dccp_socket, connect
dccp_socket, create
dccp_socket, getattr
dccp_socket, getopt
dccp_socket, ioctl
dccp_socket, listen
dccp_socket, lock
dccp_socket, map
dccp_socket, name_bind
dccp_socket, name_connect
dccp_socket, node_bind
dccp_socket, read
dccp_socket, recv_msg
dccp_socket, recvfrom
dccp_socket, relabelfrom
dccp_socket, relabelto
dccp_socket, send_msg
dccp_socket, sendto
dccp_socket, setattr
dccp_socket, setopt
dccp_socket, shutdown
dccp_socket, write
decnet_socket,accept
decnet_socket, append
decnet_socket, bind
decnet_socket, connect
decnet_socket, create
decnet_socket, getattr
decnet_socket, getopt
decnet_socket, ioctl
decnet_socket, listen
decnet_socket, lock
decnet_socket, map
decnet_socket, name_bind
decnet_socket, read
decnet_socket, recv_msg
decnet_socket, recvfrom
decnet_socket, relabelfrom
decnet_socket, relabelto
decnet_socket, send_msg
decnet_socket, sendto
decnet_socket, setattr
decnet_socket, setopt
decnet_socket, shutdown
decnet_socket, write
dir,add_name
dir, append
dir, audit_access
dir, create
dir, execmod
dir, execute
dir, getattr
dir, ioctl
dir, link
dir, lock
dir, map
dir, mounton
dir, open
dir, quotaon
dir, read
dir, relabelfrom
dir, relabelto
dir, remove_name
dir, rename
dir, reparent
dir, rmdir
dir, search
dir, setattr
dir, swapon
dir, unlink
dir, write
fd,use
fifo_file,append
fifo_file, audit_access
fifo_file, create
fifo_file, execmod
fifo_file, execute
fifo_file, getattr
fifo_file, ioctl
fifo_file, link
fifo_file, lock
fifo_file, map
fifo_file, mounton
fifo_file, open
fifo_file, quotaon
fifo_file, read
fifo_file, relabelfrom
fifo_file, relabelto
fifo_file, rename
fifo_file, setattr
fifo_file, swapon
fifo_file, unlink
fifo_file, write
file,append
file, audit_access
file, create
file, entrypoint
file, execmod
file, execute
file, execute_no_trans
file, getattr
file, ioctl
file, link
file, lock
file, map
file, mounton
file, open
file, quotaon
file, read
file, relabelfrom
file, relabelto
file, rename
file, setattr
file, swapon
file, unlink
file, write
filesystem,associate
filesystem, getattr
filesystem, mount
filesystem, quotaget
filesystem, quotamod
filesystem, relabelfrom
filesystem, relabelto
filesystem, remount
filesystem, transition
filesystem, unmount
ib_socket,accept
ib_socket, append
ib_socket, bind
ib_socket, connect
ib_socket, create
ib_socket, getattr
ib_socket, getopt
ib_socket, ioctl
ib_socket, listen
ib_socket, lock
ib_socket, map
ib_socket, name_bind
ib_socket, read
ib_socket, recv_msg
ib_socket, recvfrom
ib_socket, relabelfrom
ib_socket, relabelto
ib_socket, send_msg
ib_socket, sendto
ib_socket, setattr
